index_0,province,phase,field,side,constraint,observed,contacts,first,last,longest_confirmed,frequency
25,西藏,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
25,西藏,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
25,西藏,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
25,西藏,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
25,西藏,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
25,西藏,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
25,西藏,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
25,西藏,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
26,陕西,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
26,陕西,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
26,陕西,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
26,陕西,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
26,陕西,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
26,陕西,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
26,陕西,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
26,陕西,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
26,陕西,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
26,陕西,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
26,陕西,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
26,陕西,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
27,甘肃,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
27,甘肃,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
27,甘肃,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
27,甘肃,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
27,甘肃,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
27,甘肃,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
27,甘肃,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
27,甘肃,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
27,甘肃,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
27,甘肃,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
27,甘肃,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
27,甘肃,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
28,青海,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
28,青海,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
28,青海,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
28,青海,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
28,青海,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
28,青海,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
28,青海,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
28,青海,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
28,青海,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
28,青海,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
28,青海,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
28,青海,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
29,宁夏,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
29,宁夏,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
29,宁夏,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
29,宁夏,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
29,宁夏,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
29,宁夏,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
29,宁夏,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
29,宁夏,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
29,宁夏,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
29,宁夏,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
29,宁夏,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
29,宁夏,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
30,新疆,initialization,ra,lower,FIRM_NATIVE,1,0,,,0,0.0
30,新疆,initialization,ra,upper,FIRM_NATIVE,1,1,1,1,1,1.0
30,新疆,initialization,wjt,lower,FIRM_NATIVE,1,0,,,0,0.0
30,新疆,initialization,wjt,upper,FIRM_NATIVE,1,0,,,0,0.0
30,新疆,initialization,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,1,0,,,0,0.0
30,新疆,initialization,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,1,1,1,1,1,1.0
30,新疆,household_entry_old_state,ra,lower,FIRM_NATIVE,0,0,,,0,
30,新疆,household_entry_old_state,ra,upper,FIRM_NATIVE,0,0,,,0,
30,新疆,household_entry_old_state,wjt,lower,FIRM_NATIVE,0,0,,,0,
30,新疆,household_entry_old_state,wjt,upper,FIRM_NATIVE,0,0,,,0,
30,新疆,household_entry_old_state,rah,lower,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
30,新疆,household_entry_old_state,rah,upper,DESCRIPTIVE_FIRM_RANGE_ONLY,22,0,,,0,0.0
